,year,month,intent,police,sex,age,race,hispanic,place,education
392,2012,5,Suicide,0,F,44,White,100,Street,Less than HS
393,2012,4,Homicide,0,M,44,Black,100,Street,HS/GED
394,2012,5,Suicide,0,M,74,White,100,Other unspecified,BA+
395,2012,5,Suicide,0,M,82,White,100,Other unspecified,Some college
396,2012,5,Homicide,0,M,27,White,100,Other specified,HS/GED
397,2012,5,Suicide,0,M,61,White,100,Sports,BA+
398,2012,5,Suicide,0,M,44,White,100,Home,BA+
399,2012,5,Suicide,0,M,34,White,100,Home,HS/GED
400,2012,5,Suicide,0,M,58,White,100,Other specified,BA+
401,2012,5,Suicide,0,M,74,White,100,Home,HS/GED
402,2012,5,Suicide,0,M,67,White,100,Home,HS/GED
403,2012,5,Suicide,0,M,73,White,100,Home,HS/GED
404,2012,5,Suicide,0,M,55,White,100,Home,HS/GED
405,2012,4,Suicide,0,F,55,White,100,Home,HS/GED
406,2012,5,Suicide,0,M,22,Black,100,Home,Less than HS
407,2012,6,Homicide,0,M,33,White,100,Home,Less than HS
408,2012,6,Suicide,0,M,40,White,100,Home,Some college
409,2012,6,Suicide,0,M,25,White,100,Home,HS/GED
410,2012,5,Suicide,0,M,52,White,100,Home,Less than HS
411,2012,6,Suicide,0,M,47,White,100,Other unspecified,Some college
412,2012,4,Homicide,0,M,32,Black,100,Street,Less than HS
413,2012,5,Homicide,0,M,33,Black,100,Street,HS/GED
414,2012,4,Suicide,0,M,23,White,100,Other unspecified,HS/GED
415,2012,6,Suicide,0,M,17,Black,100,Home,Less than HS
416,2012,5,Suicide,0,F,69,White,100,Home,HS/GED
417,2012,6,Homicide,0,M,22,Black,100,Trade/service area,HS/GED
418,2012,4,Homicide,0,M,45,White,100,Home,Less than HS
419,2012,6,Homicide,0,M,53,White,100,Home,HS/GED
420,2012,5,Suicide,0,M,78,White,100,Home,Some college
421,2012,6,Suicide,0,M,68,White,100,Home,BA+
422,2012,5,Homicide,0,M,33,Black,100,Home,Less than HS
423,2012,6,Suicide,0,M,55,White,100,Home,HS/GED
424,2012,5,Suicide,0,M,30,White,100,Other unspecified,Some college
425,2012,5,Homicide,0,M,71,White,100,Other unspecified,Less than HS
426,2012,5,Suicide,0,M,64,White,100,Home,BA+
427,2012,6,Suicide,0,M,45,White,100,Home,HS/GED
428,2012,5,Suicide,0,M,60,White,100,Home,Some college
429,2012,5,Accidental,0,F,20,Black,100,Home,Less than HS
430,2012,5,Suicide,0,M,60,White,100,Home,HS/GED
431,2012,5,Suicide,0,F,30,White,100,Home,Some college
432,2012,6,Homicide,0,M,13,White,100,Home,Less than HS
433,2012,6,Homicide,0,M,3,White,100,Other unspecified,NA
434,2012,5,Suicide,0,M,34,Black,100,Street,Some college
435,2012,5,Suicide,0,M,26,Black,100,Home,HS/GED
436,2012,5,Suicide,0,M,64,White,100,Home,HS/GED
437,2012,5,Suicide,0,M,48,White,100,Home,Less than HS
438,2012,6,Suicide,0,F,39,White,100,Home,HS/GED
439,2012,5,Homicide,0,M,32,Black,100,Trade/service area,HS/GED
440,2012,6,Suicide,0,M,63,White,100,Home,Less than HS
